Messy Descriptor,Merchant Name,Label,Generated By
SUNOCOSTN-SF*US,Sunoco Station San Francisco,MATCH,ChatGPT-4.1
SUNOCO STATION SANFRNCSCO,Sunoco Station San Francisco,MATCH,ChatGPT-4.1
LYFT RIDE CALGRY*067,Lyft Ride Calgary,MATCH,ChatGPT-4.1
CALGARY-LYFT*RIDE 21,Lyft Ride Calgary,MATCH,ChatGPT-4.1
LYFTRDE CLGARY CA,Lyft Ride Calgary,MATCH,ChatGPT-4.1
LYFTRIDE CALGRY CA*,Lyft Ride Calgary,MATCH,ChatGPT-4.1
LYFT*CLGRY RIDE 0031,Lyft Ride Calgary,MATCH,ChatGPT-4.1
RBCROYALBNK*CAN 0023,RBC Royal Bank Canada,MATCH,ChatGPT-4.1
ROYAL BK CAN #123 TOR,RBC Royal Bank Canada,MATCH,ChatGPT-4.1
RBC-RYLBNK/CANADA*,RBC Royal Bank Canada,MATCH,ChatGPT-4.1
CAN-RBC ROYALBNK 87TO,RBC Royal Bank Canada,MATCH,ChatGPT-4.1
RBCRylBnk_CAD*STN12,RBC Royal Bank Canada,MATCH,ChatGPT-4.1
PNRA BRD TOR112*,Panera Bread Toronto Store 112,MATCH,ChatGPT-4.1
PANERABRD#112-TORONTO,Panera Bread Toronto Store 112,MATCH,ChatGPT-4.1
PnrBred-Tor-112★,Panera Bread Toronto Store 112,MATCH,ChatGPT-4.1
TORONTO*PBRD 112,Panera Bread Toronto Store 112,MATCH,ChatGPT-4.1
PANERA-BREAD ST#112 TOR,Panera Bread Toronto Store 112,MATCH,ChatGPT-4.1
RYLBNK-INTL/001,Royal Bank International,MATCH,ChatGPT-4.1
ROYALBK INTL*,Royal Bank International,MATCH,ChatGPT-4.1
Ryl Bnk Intl-USA,Royal Bank International,MATCH,ChatGPT-4.1
ROYALBNKINT#INTRNL,Royal Bank International,MATCH,ChatGPT-4.1
INTL ROYAL BANK-CN,Royal Bank International,MATCH,ChatGPT-4.1
MC DONALDS#STORE/MIAMI,McDonald's Store Miami,MATCH,ChatGPT-4.1
McD*Miami123,McDonald's Store Miami,MATCH,ChatGPT-4.1
MCDNLDS ST-MIA,McDonald's Store Miami,MATCH,ChatGPT-4.1
MIAMI MC-D'S STR,McDonald's Store Miami,MATCH,ChatGPT-4.1
MCDONALDS_MIAMI*0002,McDonald's Store Miami,MATCH,ChatGPT-4.1
CNMRK-THR COL,Cinemark Theatres Colorado,MATCH,ChatGPT-4.1
CinemarkTheatr*CO,Cinemark Theatres Colorado,MATCH,ChatGPT-4.1
CNMRK THEATRS#122-COLO,Cinemark Theatres Colorado,MATCH,ChatGPT-4.1
COLO CINEMRK THR,Cinemark Theatres Colorado,MATCH,ChatGPT-4.1
CINEMRK*THEATRE COLORADO,Cinemark Theatres Colorado,MATCH,ChatGPT-4.1
WHL_FDS BOSTN MKT,Whole Foods Boston Market,MATCH,ChatGPT-4.1
WholeFds*BOS_MRKT,Whole Foods Boston Market,MATCH,ChatGPT-4.1
WHOLEFOODS#BOSTONMKT,Whole Foods Boston Market,MATCH,ChatGPT-4.1
BOSTONWHOLEFDS-MK,Whole Foods Boston Market,MATCH,ChatGPT-4.1
WHL FDS MKT-BOS,Whole Foods Boston Market,MATCH,ChatGPT-4.1
LobLws STR#TOR,Loblaws Store Toronto,MATCH,ChatGPT-4.1
LOBLWS TOR-ST,Loblaws Store Toronto,MATCH,ChatGPT-4.1
LOBLWS*TORONTO001,Loblaws Store Toronto,MATCH,ChatGPT-4.1
LBLWS STORE/TRNTO,Loblaws Store Toronto,MATCH,ChatGPT-4.1
TORONTO LOBLAWS-STR,Loblaws Store Toronto,MATCH,ChatGPT-4.1
7-ELEVN*DAL456,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
7ELEVEN DALLAS#456,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
7/11-LOC456 DAL,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
7ELEVN-DAL*LOC-456,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
DAL-7ELEVEN L456,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
EBAYGFTS*USA,eBay Gifts USA,MATCH,ChatGPT-4.1
E-BY GIFT US,eBay Gifts USA,MATCH,ChatGPT-4.1
Ebay Gifts-USA#001,eBay Gifts USA,MATCH,ChatGPT-4.1
EBAY-GFTS_USA,eBay Gifts USA,MATCH,ChatGPT-4.1
EBAY*USA GIFTS,eBay Gifts USA,MATCH,ChatGPT-4.1
BGR KING-VANCVR,Burger King Vancouver,MATCH,ChatGPT-4.1
BurgerKNG*YVR,Burger King Vancouver,MATCH,ChatGPT-4.1
BRGR-KING#VAN,Burger King Vancouver,MATCH,ChatGPT-4.1
VAN- BURGER KING,Burger King Vancouver,MATCH,ChatGPT-4.1
BGR-KNG VAN#002,Burger King Vancouver,MATCH,ChatGPT-4.1
UBER*RDE MIA #2043,Uber Ride Miami,MATCH,ChatGPT-4.1
MIA-UBER RIDE*247,Uber Ride Miami,MATCH,ChatGPT-4.1
UBR RDE MIAMI FL-US,Uber Ride Miami,MATCH,ChatGPT-4.1
UBER MIAMI-RIDE 0037,Uber Ride Miami,MATCH,ChatGPT-4.1
*UBER MIAMI RIDE*USA,Uber Ride Miami,MATCH,ChatGPT-4.1
RBCBNK*CAN #112,RBC Bank Canada,MATCH,ChatGPT-4.1
RBC Bnk-Cda 0453,RBC Bank Canada,MATCH,ChatGPT-4.1
RBCBANK CANADA*3201,RBC Bank Canada,MATCH,ChatGPT-4.1
RBC*Canada Bnk 72,RBC Bank Canada,MATCH,ChatGPT-4.1
RBC-BNK CAN 001,RBC Bank Canada,MATCH,ChatGPT-4.1
EBY-SPRT EQPT US*9198,eBay Sports Equipment USA,MATCH,ChatGPT-4.1
EbaySportsEquip USA 54,eBay Sports Equipment USA,MATCH,ChatGPT-4.1
EBY SPTS EQP*US,eBay Sports Equipment USA,MATCH,ChatGPT-4.1
Ebay*SportsEqpt-USA 3327,eBay Sports Equipment USA,MATCH,ChatGPT-4.1
EBAY EQ US-SPRT 077,eBay Sports Equipment USA,MATCH,ChatGPT-4.1
CHVRN FUELATL*338,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
Chevron-ATL STA #2091,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
CHEV*ATL Station 44,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
CHV Fuel Stn ATL*US,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
CHEVRON FUEL-STN ATL 0088,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
LyftRd ORL*503,Lyft Ride Orlando,MATCH,ChatGPT-4.1
LYFT-RIDE*ORLANDO US,Lyft Ride Orlando,MATCH,ChatGPT-4.1
LYFTRD ORLANDO #201,Lyft Ride Orlando,MATCH,ChatGPT-4.1
LYFT ORL-RIDE 97,Lyft Ride Orlando,MATCH,ChatGPT-4.1
LYFT*ORLANDO RDE*017,Lyft Ride Orlando,MATCH,ChatGPT-4.1
EXXON-STN TO #129,Exxon Station Toronto,MATCH,ChatGPT-4.1
Exxon Toronto Stn 2875,Exxon Station Toronto,MATCH,ChatGPT-4.1
EXXN STATION*TOR CAN,Exxon Station Toronto,MATCH,ChatGPT-4.1
Exxon*StnTOR 66,Exxon Station Toronto,MATCH,ChatGPT-4.1
EXON STA Toronto 0674,Exxon Station Toronto,MATCH,ChatGPT-4.1
LYFT-PHX RIDE 0071,Lyft Ride Phoenix,MATCH,ChatGPT-4.1
LYFTRD PHNX*US,Lyft Ride Phoenix,MATCH,ChatGPT-4.1
LYFT RDE PHOENIX 902,Lyft Ride Phoenix,MATCH,ChatGPT-4.1
LYFT*PHX-RD 3834,Lyft Ride Phoenix,MATCH,ChatGPT-4.1
LyftRide-Phoenix #132,Lyft Ride Phoenix,MATCH,ChatGPT-4.1
AIRBNB BKG CHI*3012,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
Airbnb-Chicago BKG#099,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
AIRBNB*BOOKG CHGO 88,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
ABNB BOOKCHI US 600,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
AIRBNB BKG-CHICAGO*US,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
BP STN CGY-CA #221,BP Station Calgary,MATCH,ChatGPT-4.1
BP*CGY STATION 08,BP Station Calgary,MATCH,ChatGPT-4.1
BPSTATION CALGARY*CA,BP Station Calgary,MATCH,ChatGPT-4.1
BP-STN CALGRY 3509,BP Station Calgary,MATCH,ChatGPT-4.1
BP CGY STN*0030,BP Station Calgary,MATCH,ChatGPT-4.1
Olv Grdn-Cda 144,Olive Garden Canada,MATCH,ChatGPT-4.1
OLIVE*GARDEN CAN 3902,Olive Garden Canada,MATCH,ChatGPT-4.1
OLVGARDEN-CANADA #09,Olive Garden Canada,MATCH,ChatGPT-4.1
OLV GRD-CAN 0771,Olive Garden Canada,MATCH,ChatGPT-4.1
OLIVE-GRDN CND*US,Olive Garden Canada,MATCH,ChatGPT-4.1
BP FUEL  #312 CHGO*,BP Fuel Station Chicago,MATCH,ChatGPT-4.1
BPSTN-CHICAGO IL 2298,BP Fuel Station Chicago,MATCH,ChatGPT-4.1
BP*FUELSTA CHI,BP Fuel Station Chicago,MATCH,ChatGPT-4.1
BP Fuel Stn*Chicago-US,BP Fuel Station Chicago,MATCH,ChatGPT-4.1
B.P. FUELSTN CHI 0098,BP Fuel Station Chicago,MATCH,ChatGPT-4.1
OLV GRDN-DENVER*CO,Olive Garden Denver,MATCH,ChatGPT-4.1
OLIVEGARDN  DEN 123,Olive Garden Denver,MATCH,ChatGPT-4.1
OLIVE GARDEN #DENVER,Olive Garden Denver,MATCH,ChatGPT-4.1
OLVGRD-DEN*CO,Olive Garden Denver,MATCH,ChatGPT-4.1
OLVGRDN DENVR 0012,Olive Garden Denver,MATCH,ChatGPT-4.1
DNKN-DONUTS*BOSTON334,Dunkin' Donuts Boston Store 334,MATCH,ChatGPT-4.1
DUNKIN#334 BOSTON MA,Dunkin' Donuts Boston Store 334,MATCH,ChatGPT-4.1
DNKN DONTS BOSTN STO 334,Dunkin' Donuts Boston Store 334,MATCH,ChatGPT-4.1
DUNKIN DONUTS-BOS 334US,Dunkin' Donuts Boston Store 334,MATCH,ChatGPT-4.1
DUNKN DONUT 334BOSTN,Dunkin' Donuts Boston Store 334,MATCH,ChatGPT-4.1
PYPL*BUSNSS SOLUTNS,PayPal Business Solutions,MATCH,ChatGPT-4.1
Pay Pal BusSol - 9987,PayPal Business Solutions,MATCH,ChatGPT-4.1
PAYPAL BIZSLTN,PayPal Business Solutions,MATCH,ChatGPT-4.1
PYPL-BUSINESS#SOL,PayPal Business Solutions,MATCH,ChatGPT-4.1
PAY*PAL-BUS SOL,PayPal Business Solutions,MATCH,ChatGPT-4.1
UBER*EATS SFCA 8776,Uber Eats San Francisco,MATCH,ChatGPT-4.1
UBEREATS-SANFRAN,Uber Eats San Francisco,MATCH,ChatGPT-4.1
UBR ETS SANFRC,Uber Eats San Francisco,MATCH,ChatGPT-4.1
UBER EATS* SF-US,Uber Eats San Francisco,MATCH,ChatGPT-4.1
UBRETS-SF 0034,Uber Eats San Francisco,MATCH,ChatGPT-4.1
CHASEBANK-GLOBAL*123,Chase Banking Global,MATCH,ChatGPT-4.1
CHS BKG-GLB #US,Chase Banking Global,MATCH,ChatGPT-4.1
CHASE*BNK GLOBL,Chase Banking Global,MATCH,ChatGPT-4.1
CSE BNK*GLOBAL,Chase Banking Global,MATCH,ChatGPT-4.1
CHASE-BANK GLOBAL989,Chase Banking Global,MATCH,ChatGPT-4.1
UBER*EATS VANCVR-CA,Uber Eats Vancouver,MATCH,ChatGPT-4.1
UBREATS-VANCOUVER,Uber Eats Vancouver,MATCH,ChatGPT-4.1
UBR ETS VAN*1045,Uber Eats Vancouver,MATCH,ChatGPT-4.1
UBER ETS-VANCA,Uber Eats Vancouver,MATCH,ChatGPT-4.1
UBEREATS-VANCANADA,Uber Eats Vancouver,MATCH,ChatGPT-4.1
SUBWAY-OTTAWA STO#211,Subway Store Ottawa,MATCH,ChatGPT-4.1
SUBWY STR OTT-998,Subway Store Ottawa,MATCH,ChatGPT-4.1
SUBWAY*STORE OTTAWA,Subway Store Ottawa,MATCH,ChatGPT-4.1
SBWY OTW STO 876,Subway Store Ottawa,MATCH,ChatGPT-4.1
SBWAY#STORE OTTAWA,Subway Store Ottawa,MATCH,ChatGPT-4.1
WLLS FRGO*BANK-9876,Wells Fargo Bank,MATCH,ChatGPT-4.1
WELLS-FARGO#BNK,Wells Fargo Bank,MATCH,ChatGPT-4.1
WLS FRGO BNK USA,Wells Fargo Bank,MATCH,ChatGPT-4.1
WELLSFRG BNK-CA,Wells Fargo Bank,MATCH,ChatGPT-4.1
WELLS*FARGO BANK001,Wells Fargo Bank,MATCH,ChatGPT-4.1
STRIPE*ONLN PMT,Stripe Online Payment,MATCH,ChatGPT-4.1
STRP-ONLINE PAYMENT,Stripe Online Payment,MATCH,ChatGPT-4.1
STRIPE ONLNE PMT#US,Stripe Online Payment,MATCH,ChatGPT-4.1
STP ONLINE-PAYMT,Stripe Online Payment,MATCH,ChatGPT-4.1
STRIPE*ONLINEPAY-293,Stripe Online Payment,MATCH,ChatGPT-4.1
BURGR KNG FL112*,Burger King Florida Store 112,MATCH,ChatGPT-4.1
BK* STORE #112 FL,Burger King Florida Store 112,MATCH,ChatGPT-4.1
BURGER-KING*112 FLORIDA,Burger King Florida Store 112,MATCH,ChatGPT-4.1
B.KING FL-112,Burger King Florida Store 112,MATCH,ChatGPT-4.1
BURGR KNG FL STO112#,Burger King Florida Store 112,MATCH,ChatGPT-4.1
PNDA EXPRS TORONTO*,Panda Express Toronto,MATCH,ChatGPT-4.1
PANDA XPRS-TOR,Panda Express Toronto,MATCH,ChatGPT-4.1
PANDAEX#TOR CA,Panda Express Toronto,MATCH,ChatGPT-4.1
PANDA-EXPRS*TORONTO,Panda Express Toronto,MATCH,ChatGPT-4.1
PND EXPRS TRNT*,Panda Express Toronto,MATCH,ChatGPT-4.1
TRDR JOES INTL#,Trader Joe's International,MATCH,ChatGPT-4.1
TRADER J’S*INT’L,Trader Joe's International,MATCH,ChatGPT-4.1
TRADERJOES-INTER*,Trader Joe's International,MATCH,ChatGPT-4.1
TRD JOES INTL,Trader Joe's International,MATCH,ChatGPT-4.1
TRDR J INTL,Trader Joe's International,MATCH,ChatGPT-4.1
BP STATN VAN*,BP Station Vancouver,MATCH,ChatGPT-4.1
BPSTN-VANCOUVER CA,BP Station Vancouver,MATCH,ChatGPT-4.1
BP STATION*VAN,BP Station Vancouver,MATCH,ChatGPT-4.1
BP-STAT VAN #123,BP Station Vancouver,MATCH,ChatGPT-4.1
BP STN VANCOUVER,BP Station Vancouver,MATCH,ChatGPT-4.1
OLV GRDN CAN*,Olive Garden Canada,MATCH,ChatGPT-4.1
OLIVE-GARDEN CA,Olive Garden Canada,MATCH,ChatGPT-4.1
OLIVE GDEN CANADA,Olive Garden Canada,MATCH,ChatGPT-4.1
OLV GARDN*CA,Olive Garden Canada,MATCH,ChatGPT-4.1
OLVGRDN CAN,Olive Garden Canada,MATCH,ChatGPT-4.1
BK FL STORE,Burger King Florida Store,MATCH,ChatGPT-4.1
BURGR-KNG*FLSTR,Burger King Florida Store,MATCH,ChatGPT-4.1
BURGERKING#FL,Burger King Florida Store,MATCH,ChatGPT-4.1
BK FLORIDA STR,Burger King Florida Store,MATCH,ChatGPT-4.1
BK*FL-STORE*,Burger King Florida Store,MATCH,ChatGPT-4.1
EBAY GFTS US*,eBay Gifts USA,MATCH,ChatGPT-4.1
EBY GIFTS-USA,eBay Gifts USA,MATCH,ChatGPT-4.1
E-BAY*GIFTSUSA,eBay Gifts USA,MATCH,ChatGPT-4.1
EBAYGFTS#USA,eBay Gifts USA,MATCH,ChatGPT-4.1
EBA GIFTS US,eBay Gifts USA,MATCH,ChatGPT-4.1
SHELL GAS-STATN HOU,Shell Gas Station Houston,MATCH,ChatGPT-4.1
SHELL GS STN HSTN,Shell Gas Station Houston,MATCH,ChatGPT-4.1
SHELL*HOUSTON#GS,Shell Gas Station Houston,MATCH,ChatGPT-4.1
SHL GAS STATN HOU,Shell Gas Station Houston,MATCH,ChatGPT-4.1
SHELL-GS HOU USA,Shell Gas Station Houston,MATCH,ChatGPT-4.1
7-11 DAL LOC456,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
7ELEVN*456 DAL,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
7/11 DALLAS#456,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
7ELEVEN DAL-456*,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
7EVN DALLAS LOC,7-Eleven Dallas Location 456,MATCH,ChatGPT-4.1
AMZ CAN BOOKS,Amazon Canada Books,MATCH,ChatGPT-4.1
AMAZON-CA*BOOK,Amazon Canada Books,MATCH,ChatGPT-4.1
AMZN BOOKS CANADA,Amazon Canada Books,MATCH,ChatGPT-4.1
AMAZON*BOOKS-CA,Amazon Canada Books,MATCH,ChatGPT-4.1
AMZ*CN BOOKS,Amazon Canada Books,MATCH,ChatGPT-4.1
ARBYS* REST CHI #1721,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARBY'S CHICAGO-RESTUARNT,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARBYS-RESTRNT CHGO IL,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
*Arbys Rstrnt Chicago 001*,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
CHICAGO ARBYS RESTAURNT,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ALDI US*456,Aldi USA Store 456,MATCH,ChatGPT-4.1
ALDI-STORE#456 USA,Aldi USA Store 456,MATCH,ChatGPT-4.1
ALDI USA STR 456,Aldi USA Store 456,MATCH,ChatGPT-4.1
ALDI456 USA*,Aldi USA Store 456,MATCH,ChatGPT-4.1
STORE 456 ALDI US,Aldi USA Store 456,MATCH,ChatGPT-4.1
ROYALBK TORONTO-CAN,Royal Bank Toronto,MATCH,ChatGPT-4.1
ROYAL BANK* TOR #203,Royal Bank Toronto,MATCH,ChatGPT-4.1
RYL BNK TORONTO,Royal Bank Toronto,MATCH,ChatGPT-4.1
ROYALBANK-TOR,Royal Bank Toronto,MATCH,ChatGPT-4.1
TORONTO ROYALBANK,Royal Bank Toronto,MATCH,ChatGPT-4.1
NETFLIX*SUBSCRB TORONTO,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
NETFLX SUB TOR-CAN,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
NETFLIX-TOR SUBSCRIP,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
TORONTO NETFLIX SUB,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
NFLX SUBS# TOR,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
SHOPFY-ONLINE*SALE,Shopify Online Sales,MATCH,ChatGPT-4.1
SHOPIFY OLSALE,Shopify Online Sales,MATCH,ChatGPT-4.1
SHOPIFY SALES ONLINE,Shopify Online Sales,MATCH,ChatGPT-4.1
ONLINE-SHOPFIY SALES,Shopify Online Sales,MATCH,ChatGPT-4.1
SHOPIFY*ONLNE SL,Shopify Online Sales,MATCH,ChatGPT-4.1
PEETS COFFEE*FL STR,Peet's Coffee Florida Store,MATCH,ChatGPT-4.1
PEET'S FL STORE,Peet's Coffee Florida Store,MATCH,ChatGPT-4.1
PEETS-CFF FLRDA #987,Peet's Coffee Florida Store,MATCH,ChatGPT-4.1
PEETS COFF FLORIDA,Peet's Coffee Florida Store,MATCH,ChatGPT-4.1
PEET'S COFEE STORE*FL,Peet's Coffee Florida Store,MATCH,ChatGPT-4.1
CINEPLEX-CIN CALGARY,Cineplex Cinemas Calgary,MATCH,ChatGPT-4.1
CINEPLX CINEMA CALG*,Cineplex Cinemas Calgary,MATCH,ChatGPT-4.1
CINEPLEX-CALGARY CIN,Cineplex Cinemas Calgary,MATCH,ChatGPT-4.1
CINEPLEX*CIN CALGRY,Cineplex Cinemas Calgary,MATCH,ChatGPT-4.1
CALGARY #1122 CINEPLEX,Cineplex Cinemas Calgary,MATCH,ChatGPT-4.1
CHKFLA* VAN STORE,Chick-fil-A Store Vancouver,MATCH,ChatGPT-4.1
CHICK-FIL-A VANCOUVER#203,Chick-fil-A Store Vancouver,MATCH,ChatGPT-4.1
CHICKFILA*STR VAN,Chick-fil-A Store Vancouver,MATCH,ChatGPT-4.1
VANCOUVER CHICKFIL-A STORE,Chick-fil-A Store Vancouver,MATCH,ChatGPT-4.1
CHIK FILA VAN-STORE,Chick-fil-A Store Vancouver,MATCH,ChatGPT-4.1
ROYALBANK*INTL,Royal Bank International,MATCH,ChatGPT-4.1
ROYAL BNK INTL-GB,Royal Bank International,MATCH,ChatGPT-4.1
ROYAL BANK INTNL,Royal Bank International,MATCH,ChatGPT-4.1
INTL ROYALBANK,Royal Bank International,MATCH,ChatGPT-4.1
R-BANK INTERNTNL,Royal Bank International,MATCH,ChatGPT-4.1
SPTFY-PRM CANADA,Spotify Premium Canada,MATCH,ChatGPT-4.1
SPOTIFY*PREM-CAD,Spotify Premium Canada,MATCH,ChatGPT-4.1
SPOTIFY CANADA PRM,Spotify Premium Canada,MATCH,ChatGPT-4.1
SPOTIFYPRM CDA,Spotify Premium Canada,MATCH,ChatGPT-4.1
SPOTYFY PRMIUM-CAN,Spotify Premium Canada,MATCH,ChatGPT-4.1
UBR*EATS#SF 001,Uber Eats San Francisco,MATCH,ChatGPT-4.1
UbrEt-SFO*09231,Uber Eats San Francisco,MATCH,ChatGPT-4.1
UberEats-SanFran CA,Uber Eats San Francisco,MATCH,ChatGPT-4.1
UB-EATS SF*US234,Uber Eats San Francisco,MATCH,ChatGPT-4.1
UBR*EAT SanFran#27,Uber Eats San Francisco,MATCH,ChatGPT-4.1
CSHAP*PAY-SERV 9981,CashApp Payment Service,MATCH,ChatGPT-4.1
CashApPay SVC#US,CashApp Payment Service,MATCH,ChatGPT-4.1
CASH-APP*PymtSrv,CashApp Payment Service,MATCH,ChatGPT-4.1
CSHAPP-PAYMENT SVC 401,CashApp Payment Service,MATCH,ChatGPT-4.1
Cash*AppPaymntSvc-US,CashApp Payment Service,MATCH,ChatGPT-4.1
Uber-Ride Otw 213,Uber Ride Ottawa,MATCH,ChatGPT-4.1
UBR*RD#Ottawa CAN,Uber Ride Ottawa,MATCH,ChatGPT-4.1
UBER*RideOTT-58,Uber Ride Ottawa,MATCH,ChatGPT-4.1
UBR Rd OTTW-2834,Uber Ride Ottawa,MATCH,ChatGPT-4.1
UberRid Ottwa#CA,Uber Ride Ottawa,MATCH,ChatGPT-4.1
NTFLX*STRMCA-0012,Netflix Streaming Canada,MATCH,ChatGPT-4.1
Netflix-CAN*Strm,Netflix Streaming Canada,MATCH,ChatGPT-4.1
NFX*Stream CND#22,Netflix Streaming Canada,MATCH,ChatGPT-4.1
NTFLX*CANADA-STRM,Netflix Streaming Canada,MATCH,ChatGPT-4.1
NetflixStrmg*CA#708,Netflix Streaming Canada,MATCH,ChatGPT-4.1
ArbyRes-CHGO*013,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARBYS*CHI-RT#22,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARBY'S # 6579 CHICAGO,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARB-RST*Chicago IL,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARBY*REST CHGO-718,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
SHELL-STNCLGRY#11,Shell Station Calgary,MATCH,ChatGPT-4.1
ShellSta*Calg 8792,Shell Station Calgary,MATCH,ChatGPT-4.1
SHL*STN#CalgaryCA,Shell Station Calgary,MATCH,ChatGPT-4.1
Shell-Station*CLG 043,Shell Station Calgary,MATCH,ChatGPT-4.1
SHLLSTN-CLG*CAN,Shell Station Calgary,MATCH,ChatGPT-4.1
DOORDASH*DELSVC#9,DoorDash Delivery Service,MATCH,ChatGPT-4.1
